split,x0,x1,label
train,-1.75265362,0.21986441,0
train,-1.47741341,1.70997964,0
train,-0.76324206,-1.21754026,0
train,-0.11053356,1.24971473,1
train,1.25689069,1.11956176,1
train,-0.57544784,0.09054588,1
train,-0.10754870,-0.21280103,1
train,-0.69511484,0.15401707,1
train,-1.69730566,-0.37599494,0
train,1.09116470,-2.09390607,1
train,-1.80199182,0.47535479,0
train,1.44125465,0.88546280,1
train,-0.12802683,-0.21392937,1
train,-0.64284491,0.36267335,1
train,0.14375366,0.25085962,0
train,0.65556264,-0.05006686,0
train,-1.39153296,-0.67645540,0
train,-1.75316574,-0.06019342,0
train,0.08075967,-1.32404653,0
train,0.09586267,0.22035141,0
train,0.08639539,0.15263468,0
train,-0.02245608,-0.12310098,1
train,-0.64307770,0.37319017,1
train,-0.95603773,2.20273772,0
train,1.71329753,0.38930830,1
train,-0.50226940,0.70833002,1
train,-0.05693280,-0.20627457,1
train,-0.40901722,-1.37659322,0
train,0.47944801,-1.01754933,0
train,1.88272602,-0.77604759,1
train,-0.08726996,-0.19882017,1
train,0.48983227,-1.07063594,0
train,-0.45252717,-0.17121571,1
train,1.87526843,-0.48083157,1
train,0.13374771,-1.33503188,0
train,1.84941456,0.03555242,1
train,-0.71953360,-1.34156160,0
train,-0.63281716,0.58038667,1
train,0.56996871,-1.01428556,0
train,0.75409084,-0.46309320,0
train,-0.72727255,0.48618244,1
train,-0.10541776,-1.34517934,0
train,-0.53994297,-0.07537651,1
train,-0.27545072,-0.21180809,1
train,0.28734497,-1.15780308,0
train,1.84113558,-0.35670712,1
train,1.58814622,-1.61279921,1
train,-1.76241339,0.73755394,0
train,1.79774955,-0.29243806,1
train,0.91642515,-2.24126675,1
train,0.55881702,-1.03771902,0
train,0.73161651,-0.34518498,0
train,0.47905323,-1.22736880,0
train,-0.27992275,-0.23041143,1
train,-0.55884861,-0.18491281,1
train,0.50514512,1.48470722,1
train,0.16753795,0.24744678,0
train,0.30874616,0.21785658,0
train,-1.51862016,-0.62647869,0
train,-1.79390868,-0.18589819,0
train,1.79685243,0.03394199,1
train,-0.51296571,0.91540353,1
train,-1.37116077,-0.87087437,0
train,-1.69085900,1.37191682,0
train,-1.54892309,1.49996978,0
train,-0.82950569,-1.18684000,0
train,1.69286840,-1.54999986,1
train,0.09038807,1.44612084,1
train,0.33607265,0.21608451,0
train,-0.28939158,1.24839928,1
train,1.87515982,0.06454680,1
train,0.73196815,-0.38812664,0
train,0.00924238,-0.12474211,1
train,-0.11212950,-1.38789877,0
train,1.81201178,0.11225264,1
train,-0.48378068,0.88465410,1
train,-1.36858156,1.86901075,0
train,0.48881407,0.15808727,0
train,1.35040022,0.97382971,1
train,-0.42089196,-0.16864856,1
train,-0.29943172,1.11922656,1
train,-0.05569917,-0.19626792,1
train,-0.22911278,-0.23235563,1
train,0.45406265,0.16673021,0
train,0.27763401,-1.17015122,0
train,-0.61390921,0.46871160,1
train,0.74418095,-0.14954796,0
train,0.15442472,0.21676135,0
train,-1.83146382,0.63311601,0
train,0.66832042,-0.60800028,0
train,-0.49479257,-0.10939953,1
train,-0.45353081,1.10744797,1
train,1.61439761,0.60391160,1
train,1.75844038,-0.90900843,1
train,-0.53848112,0.69909644,1
train,-1.11892844,-1.16022932,0
train,0.65128750,0.06510723,0
train,-0.61937207,0.33831360,1
train,0.76270886,-2.31167195,1
train,0.63627564,0.08491999,0
train,1.32619253,-1.83919836,1
train,0.37022562,-1.25306445,0
train,0.11671329,0.22215158,0
train,0.68027147,-0.67871935,0
train,-1.34503374,-0.92856139,0
train,1.66907159,0.36245937,1
train,1.08600978,1.20196106,1
train,0.53284326,1.41711714,1
train,-1.48205810,1.52488830,0
train,-1.77615670,0.92678060,0
train,1.89556624,-0.85654411,1
train,0.55118100,0.12190059,0
train,-0.57488640,0.20980872,1
train,-0.62845339,0.61690582,1
train,1.92954108,-0.17903231,1
train,0.25228498,0.24029103,0
train,0.11174705,1.31966067,1
train,0.61886841,-0.82861255,0
train,-1.04852571,2.09981051,0
train,-1.20611873,-1.03929714,0
train,0.19224470,-1.22637641,0
train,-0.52158055,0.89158784,1
train,0.09302613,0.20113716,0
train,1.02921761,-2.19460052,1
train,-0.60244461,0.17100364,1
train,1.58945954,0.60941328,1
train,-0.27740422,1.03604923,1
train,0.17150186,0.22158998,0
train,0.70651930,-0.65490943,0
train,-1.88758451,0.42731963,0
train,0.44320007,-1.11881783,0
train,-0.07143759,-0.15246821,1
train,0.47691071,0.23307817,0
train,0.15937110,1.37807523,1
train,-0.96727034,-1.24217874,0
train,1.77257450,0.22607783,1
train,0.75342330,-0.50955667,0
train,0.36425510,-1.17471780,0
train,0.65477248,-0.12526165,0
train,0.20804859,0.25167705,0
train,1.25318809,-1.93315141,1
train,0.24298042,1.45834129,1
train,-1.79055321,-0.17366990,0
train,-0.65272401,0.20810422,1
train,0.50452903,-1.04698251,0
train,-0.02763713,-1.38585990,0
train,1.81606903,-0.84039066,1
train,-1.70586317,0.28159856,0
train,1.97190705,-0.24316613,1
train,0.89294717,-2.33531858,1
train,0.23883251,0.21389908,0
train,0.73669287,-0.30836406,0
train,1.87564273,-0.13480305,1
train,-1.73411562,1.06161615,0
train,0.32189413,0.22233017,0
train,0.68569248,-0.20773882,0
train,-0.63137426,0.13543452,1
train,0.03697974,1.34643875,1
train,-1.78471339,0.03876150,0
train,-0.70129743,0.36108153,1
train,1.41717417,-1.73903031,1
